id,regionName,type
13,"თბილისი",Branch
71,"ქუთაისი",ATM
73,"რუსთავი",ATM
100,"რუსთავი",Branch
104,"თბილისი",Branch
143,"რუსთავი",Branch
144,"ქუთაისი",Branch
229,"ქუთაისი",ATM
290,"თბილისი",ATM
394,"თბილისი",ATM
439,"ჩაქვი",ATM
452,"გონიო",ATM
507,"რუსთავი",Branch
514,"ქობულეთი",Branch
721,"დაბა ჯვარი",ATM
728,"ქუთაისი",ATM
760,"რუსთავი",Branch
767,"ზუგდიდი",Branch
784,"ქუთაისი",ATM
794,"ზუგდიდი",ATM
803,"თბილისი",ATM
810,"თბილისი",ATM
878,"შეკვეთილი",ATM
888,"ბათუმი",ATM
910,"ბათუმი",ATM
914,"სარფი",ATM
941,"თბილისი",ATM
959,"ბათუმი",Branch
997,"ფოთი",ATM
1009,"ზუგდიდი",ATM
1014,"რუსთავი",ATM
1024,"სარფი",ATM
1046,"ურეკი",ATM
1047,"ანაკლია",ATM
1056,"თბილისი",ATM
1090,"ქუთაისი",ATM
1092,"ბათუმი",ATM
1119,"ბათუმი",ATM
1129,"რუსთავი",ATM
1142,"გონიო",ATM
1169,"ზუგდიდი",Branch
1192,"ქუთაისი",ATM
1201,"ბათუმი",Branch
1243,"რუსთავი",ATM
1251,"ბათუმი",ATM
1283,"ბათუმი",ATM
1284,"ბათუმი",ATM
1287,"ზუგდიდი",ATM
1288,"ზუგდიდი",ATM
1294,"რუსთავი",ATM
1364,"ქუთაისი",ATM
1401,"თბილისი",ATM
1550,"ბათუმი",ATM
1580,"ბათუმი",ATM
1581,"ზუგდიდი",ATM
1583,"რუსთავი",ATM
1627,"ქუთაისი",ATM
1652,"ზუგდიდი",ATM
1654,"გონიო",ATM
1660,"ქუთაისი",ATM
1690,"თბილისი",ATM
1711,"თბილისი",ATM
1817,"ბათუმი",ATM
1862,"რუსთავი",CDM
1872,"ქუთაისი",CDM
1873,"ქუთაისი",CDM
1879,"რუსთავი",CDM
1891,"ქობულეთი",CDM
1906,"ბათუმი",ATM
1910,"თბილისი",ATM
